,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1628778,2019-20,00,1610612737,ATL,25.0,2,0,18.0,0,7,0.0,0,3,0.0,0,0,0.0,0,2,2,3,1,0,0,1,0
1,1628778,2019-20,00,1610612761,TOR,25.0,8,0,70.0,10,19,0.526,4,9,0.444,7,9,0.778,2,13,15,5,3,1,3,4,31
2,1628778,2019-20,00,0,TOT,25.0,10,0,87.0,10,26,0.385,4,12,0.333,7,9,0.778,2,15,17,8,4,1,3,5,31
3,1628778,2020-21,00,1610612761,TOR,26.0,27,2,297.0,38,82,0.463,30,64,0.469,5,8,0.625,4,41,45,17,6,3,9,36,111
