,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1627846,2017-18,00,1610612738,BOS,24.0,48,1,522.0,50,149,0.336,23,65,0.354,23,39,0.59,13,58,71,26,15,10,34,45,146
1,1627846,2018-19,00,1610612760,OKC,25.0,61,1,694.0,91,215,0.423,32,100,0.32,27,36,0.75,14,102,116,20,20,12,26,68,241
2,1627846,2019-20,00,1610612760,OKC,26.0,55,6,867.0,123,263,0.468,48,128,0.375,51,66,0.773,14,86,100,38,23,20,43,78,345
3,1627846,2020-21,00,1610612756,PHX,27.0,24,0,355.0,57,116,0.491,18,43,0.419,28,37,0.757,7,55,62,19,10,9,19,34,160
