,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1627767,2016-17,00,1610612740,NOP,20.0,17,0,199.0,36,76,0.474,0,0,0.0,15,21,0.714,23,50,73,4,4,7,7,17,87
1,1627767,2017-18,00,1610612740,NOP,21.0,52,0,581.0,102,176,0.58,0,0,0.0,50,66,0.758,47,164,211,19,11,21,28,82,254
2,1627767,2018-19,00,1610612740,NOP,22.0,64,1,896.0,168,271,0.62,1,4,0.25,50,67,0.746,75,257,332,33,29,33,49,113,387
3,1627767,2019-20,00,1610612756,PHX,23.0,47,2,479.0,92,142,0.648,1,3,0.333,34,39,0.872,30,101,131,22,11,12,32,55,219
