,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1628989,2018-19,00,1610612737,ATL,20.0,75,59,2049.0,275,657,0.419,136,353,0.385,41,56,0.732,60,185,245,214,65,25,109,155,727
1,1628989,2019-20,00,1610612737,ATL,21.0,56,48,1760.0,252,610,0.413,127,334,0.38,53,64,0.828,35,193,228,213,51,27,87,139,684
2,1628989,2020-21,00,1610612737,ATL,22.0,69,49,2126.0,316,731,0.432,140,386,0.363,50,64,0.781,38,193,231,241,82,18,79,165,822
